#TaxCalculationService20200301,CalculateTax,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
#TaxCalculationRequest.INDATA.INVOICE.ATTRIBUTE1,TaxCalculationRequest.INDATA.INVOICE.CALCULATIONDIRECTION,TaxCalculationRequest.INDATA.INVOICE.EXTERNALCOMPANYID,TaxCalculationRequest.INDATA.INVOICE.COMPANYROLE,TaxCalculationRequest.INDATA.INVOICE.CURRENCYCODE,TaxCalculationRequest.INDATA.INVOICE.INVOICEDATE,TaxCalculationRequest.INDATA.INVOICE.SHIPTO.COUNTRY,TaxCalculationRequest.INDATA.INVOICE.SHIPTO.STATE,TaxCalculationRequest.INDATA.INVOICE.SHIPTO.PROVINCE,TaxCalculationRequest.INDATA.INVOICE.SHIPTO.CITY,TaxCalculationRequest.INDATA.INVOICE.SHIPTO.COUNTY,TaxCalculationRequest.INDATA.INVOICE.SHIPTO.POSTCODE,TaxCalculationRequest.INDATA.INVOICE.SHIPTO.GEOCODE,TaxCalculationRequest.INDATA.INVOICE.SHIPFROM.COUNTRY,TaxCalculationRequest.INDATA.INVOICE.SHIPFROM.STATE,TaxCalculationRequest.INDATA.INVOICE.SHIPFROM.PROVINCE,TaxCalculationRequest.INDATA.INVOICE.SHIPFROM.CITY,TaxCalculationRequest.INDATA.INVOICE.SHIPFROM.COUNTY,TaxCalculationRequest.INDATA.INVOICE.SHIPFROM.POSTCODE,TaxCalculationRequest.INDATA.INVOICE.SHIPFROM.GEOCODE,TaxCalculationRequest.INDATA.Version,TaxCalculationRequest.INDATA.INVOICE.LINE.LINENUMBER,TaxCalculationRequest.INDATA.INVOICE.LINE.GROSSAMOUNT,TaxCalculationRequest.INDATA.INVOICE.LINE.QUANTITY,TaxCalculationRequest.INDATA.INVOICE.INVOICENUMBER,TaxCalculationRequest.INDATA.INVOICE.TRANSACTIONTYPE,TaxCalculationRequest.INDATA.INVOICE.LINE.ID,TaxCalculationRequest.INDATA.INVOICE.LINE.PRODUCTCODE,TaxCalculationRequest.INDATA.INVOICE.LINE.COMMODITYCODE,TaxCalculationRequest.INDATA.INVOICE.ISCREDIT,TaxCalculationRequest.INDATA.INVOICE.LINE.ISCREDIT,TaxCalculationRequest.INDATA.INVOICE.ORIGINALINVOICEDATE,TaxCalculationRequest.INDATA.INVOICE.LINE.ORIGINALINVOICEDATE,TaxCalculationRequest.INDATA.INVOICE.ISAUDITED,TaxCalculationRequest.INDATA.INVOICE.BUSINESSLOCATION,TaxCalculationRequest.INDATA.INVOICE.LINE.BUSINESSLOCATION,TaxCalculationRequest.INDATA.INVOICE.FILTERGROUPNAME,TaxCalculationRequest.INDATA.INVOICE.FILTERGROUPOWNER
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,AUTAUGAVILLE,AUTAUGA,36003,18,US,AL,,AUTAUGAVILLE,AUTAUGA,36003,18,,1,1345,1,24-11-2025TC001-AL-22222,GS,1,,,TRUE,TRUE,,,TRUE,Test1,Test2,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,BILLINGSLEY,AUTAUGA,36006,90,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,1200,1,24-11-2025TC001-AL-22223,RR,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,MILLBROOK,AUTAUGA,36022,2000,US,AL,,MILLBROOK,AUTAUGA,36022,2000,,1,1300,1,24-11-2025TC001-AL-22224,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,PRATTVILLE,AUTAUGA,36066,1901,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,1400,1,24-11-2025TC001-AL-22225,SI,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,UNINCORPORATED,AUTAUGA,36003,2503,US,AL,,UNINCORPORATED,AUTAUGA,36003,2503,,1,1500,1,24-11-2025TC001-AL-22226,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,UNINCORPORATED,AUTAUGA,36067,4841,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,1600,1,24-11-2025TC001-AL-22227,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,UNINCORPORATED,AUTAUGA,36022,2500,US,AL,,UNINCORPORATED,AUTAUGA,36022,2500,,1,1700,1,24-11-2025TC001-AL-22228,RR,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,UNINCORPORATED,AUTAUGA,36003,3000,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,1800,1,24-11-2025TC001-AL-22229,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,BAY MINETTE,BALDWIN,36507,18,US,AL,,BAY MINETTE,BALDWIN,36507,18,,1,1900,1,24-11-2025TC001-AL-22230,SI,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,B,,24/11/2025,US,AL,,DAPHNE,BALDWIN,36526,16,US,IL,,COLUMBUS,ADAMS,62305,4100,,1,2200,1,24-11-2025TC001-AL-22231,GS,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
C1,F,D2C-US-20210310,S,,24/11/2025,US,AL,,ELBERTA,BALDWIN,36530,20,US,AL,,ELBERTA,BALDWIN,36530,20,,1,2200,1,24-11-2025TC001-AL-22232,RR,1,,,TRUE,TRUE,,,TRUE,,,AnkalTest,D2C-US
